occupation,women,men,employed
Industrial production managers,25.7,74.3,280
Computer support specialists,27.1,72.9,532
"Sales representatives, services, all other",27.1,72.9,525
Chemical technicians,27.4,72.6,57
Chief executives,28,72,"1,639"
"Sales representatives, wholesale and manufacturing",28,72,"1,264"
"Judges, magistrates, and other judicial workers",28.1,71.9,66
"Bailiffs, correctional officers, and jailers",28.5,71.5,408
Computer and information systems managers,28.6,71.4,630
"Architects, except naval",28.6,71.4,253
"Production workers, all other",29.5,70.5,995
Producers and directors,29.8,70.2,180
First-line supervisors of correctional officers,29.9,70.1,52
First-line supervisors of non-retail sales workers,30,70,"1,220"
Emergency medical technicians and paramedics,30.6,69.4,223
"Baggage porters, bellhops, and concierges",31.1,68.9,89
"Shipping, receiving, and traffic clerks",31.3,68.7,623
Personal financial advisors,32,68,525
Web developers,32.3,67.7,204
"Food processing workers, all other",32.5,67.5,175
"Securities, commodities, and financial services sales agents",34,66,262
General and operations managers,34.1,65.9,"1,005"
Logisticians,34.8,65.2,112
Janitors and building cleaners,35.2,64.8,"2,307"
"Managers, all other",35.8,64.2,"4,398"
Environmental scientists and geoscientists,35.8,64.2,84
Dentists,35.8,64.2,159
"Athletes, coaches, umpires, and related workers",36.4,63.6,345
Financial analysts,36.5,63.5,309
"Mail clerks and mail machine operators, except postal service",36.8,63.2,61
Helpers--production workers,37.1,62.9,50
Appraisers and assessors of real estate,37.4,62.6,97
Lawyers,37.4,62.6,"1,137"
"Musicians, singers, and related workers",37.7,62.3,188
Miscellaneous assemblers and fabricators,37.7,62.3,"1,033"
Stock clerks and order fillers,37.9,62.1,"1,525"
"Inspectors, testers, sorters, samplers, and weighers",37.9,62.1,793
Chemists and materials scientists,38.3,61.7,105
Computer systems analysts,38.9,61.1,554
Cooks,39.3,60.7,"2,079"
Physicians and surgeons,40,60,"1,079"
Administrative services managers,40.1,59.9,151
Database administrators,40.6,59.4,96
Postal service mail carriers,40.8,59.2,306
First-line supervisors of housekeeping and janitorial workers,41.1,58.9,326
"Electrical, electronics, and electromechanical assemblers",42.1,57.9,128
Management analysts,42.3,57.7,937
Miscellaneous entertainment attendants and related workers,42.9,57.1,224
First-line supervisors of retail sales workers,43.4,56.6,"3,272"
"Purchasing agents, except wholesale, retail, and farm products",44.1,55.9,270
First-line supervisors of gaming workers,44.3,55.7,208
"Agents and business managers of artists, performers, and athletes",44.4,55.6,50
Marketing and sales managers,45.3,54.7,"1,078"
Dining room and cafeteria attendants and bartender helpers,45.9,54.1,334
Photographers,46,54,214
Food service managers,46.3,53.7,"1,210"
Tour and travel guides,46.4,53.6,68
Gaming services workers,46.7,53.3,90
Budget analysts,46.8,53.2,53
"Weighers, measurers, checkers, and samplers, recordkeeping",46.8,53.2,52
Postsecondary teachers,47,53,"1,423"
Training and development specialists,47.1,52.9,133
"Physical scientists, all other",47.3,52.7,301
"Miscellaneous life, physical, and social science technicians",47.7,52.3,164
Bus drivers,47.8,52.2,578
"Entertainers and performers, sports and related workers, all other",48.1,51.9,67
Retail salespersons,48.2,51.8,"3,235"
"Property, real estate, and community association managers",48.6,51.4,743
