id,Geography,population,medianHouseholdIncome
05063,"Independence County, Arkansas",37030,37592
05065,"Izard County, Arkansas",13461,35188
05067,"Jackson County, Arkansas",17495,31245
05069,"Jefferson County, Arkansas",72385,36377
05071,"Johnson County, Arkansas",26025,34031
05073,"Lafayette County, Arkansas",7127,29882
05075,"Lawrence County, Arkansas",16915,33381
05077,"Lee County, Arkansas",9781,25724
05079,"Lincoln County, Arkansas",13935,32369
05081,"Little River County, Arkansas",12616,35396
05083,"Logan County, Arkansas",21935,36463
05085,"Lonoke County, Arkansas",71279,56156
05087,"Madison County, Arkansas",15761,39839
05089,"Marion County, Arkansas",16404,33726
05091,"Miller County, Arkansas",43666,39955
05093,"Mississippi County, Arkansas",44199,35003
05095,"Monroe County, Arkansas",7542,31541
05097,"Montgomery County, Arkansas",9100,35103
05099,"Nevada County, Arkansas",8668,30750
05101,"Newton County, Arkansas",7988,33176
05103,"Ouachita County, Arkansas",24728,31233
05105,"Perry County, Arkansas",10246,45819
05107,"Phillips County, Arkansas",19929,26829
05109,"Pike County, Arkansas",11017,34519
05111,"Poinsett County, Arkansas",24131,35163
05113,"Polk County, Arkansas",20290,33202
05115,"Pope County, Arkansas",63107,40534
05117,"Prairie County, Arkansas",8334,37500
05119,"Pulaski County, Arkansas",391806,47101
05121,"Randolph County, Arkansas",17584,36318
05123,"St. Francis County, Arkansas",27023,35066
05125,"Saline County, Arkansas",115577,57632
05127,"Scott County, Arkansas",10661,37861
05129,"Searcy County, Arkansas",7938,35542
05131,"Sebastian County, Arkansas",127351,40023
05133,"Sevier County, Arkansas",17193,38956
05135,"Sharp County, Arkansas",17027,31068
05137,"Stone County, Arkansas",12503,30486
05139,"Union County, Arkansas",40334,39836
05141,"Van Buren County, Arkansas",16892,34576
05143,"Washington County, Arkansas",219930,45442
05145,"White County, Arkansas",78823,42197
05147,"Woodruff County, Arkansas",6873,30383
05149,"Yell County, Arkansas",21716,39323
06001,"Alameda County, California",1605217,79831
06003,"Alpine County, California",1184,62375
06005,"Amador County, California",36963,57032
06007,"Butte County, California",223877,44366
06009,"Calaveras County, California",44787,53502
06011,"Colusa County, California",21361,54946
06013,"Contra Costa County, California",1107925,82881
06015,"Del Norte County, California",27628,42363
06017,"El Dorado County, California",183000,72586
06019,"Fresno County, California",963160,45963
06021,"Glenn County, California",27976,41699
06023,"Humboldt County, California",135182,42685
06025,"Imperial County, California",178807,42560
06027,"Inyo County, California",18326,47278
06029,"Kern County, California",871337,49788
06031,"Kings County, California",150261,47241
06033,"Lake County, California",64076,36132
06037,"Los Angeles County, California",10057155,57952
06035,"Lassen County, California",31945,51457
06039,"Madera County, California",153366,45742
06041,"Marin County, California",259358,100310
06043,"Mariposa County, California",17645,49265
06045,"Mendocino County, California",87409,43510
06047,"Merced County, California",265001,44397
06049,"Modoc County, California",9033,41194
06051,"Mono County, California",14051,58937
06053,"Monterey County, California",430201,60889
06055,"Napa County, California",140823,74609
06057,"Nevada County, California",98639,57429
06059,"Orange County, California",3132211,78145
06061,"Placer County, California",370571,76926
06063,"Plumas County, California",18754,50125
06065,"Riverside County, California",2323892,57972
06067,"Sacramento County, California",1479300,57509
06069,"San Benito County, California",58051,73814
06071,"San Bernardino County, California",2106754,54469
06073,"San Diego County, California",3253356,66529
06075,"San Francisco County, California",850282,87701
06077,"San Joaquin County, California",714860,55045
06079,"San Luis Obispo County, California",278680,64014
06081,"San Mateo County, California",754748,98546
06083,"Santa Barbara County, California",439395,65161
06085,"Santa Clara County, California",1885056,101173
06087,"Santa Cruz County, California",270931,70088
06089,"Shasta County, California",179228,45582
06091,"Sierra County, California",2931,43984
06093,"Siskiyou County, California",43668,38524
06095,"Solano County, California",429596,69227
06097,"Sonoma County, California",497776,66833
06099,"Stanislaus County, California",530561,51591
06101,"Sutter County, California",95406,52943
06103,"Tehama County, California",63015,40687
06105,"Trinity County, California",13180,35270
06107,"Tulare County, California",455769,42789
06109,"Tuolumne County, California",53864,50731
06111,"Ventura County, California",843110,78593
06113,"Yolo County, California",209671,57663
06115,"Yuba County, California",73897,48739
08001,"Adams County, Colorado",479977,61444
08003,"Alamosa County, Colorado",16353,32385
08005,"Arapahoe County, Colorado",617668,66288
08007,"Archuleta County, Colorado",12355,45607
08009,"Baca County, Colorado",3648,37477
08011,"Bent County, Colorado",5816,34773
08013,"Boulder County, Colorado",313961,72282
08014,"Broomfield County, Colorado",62449,83334
08015,"Chaffee County, Colorado",18507,50993
08017,"Cheyenne County, Colorado",2071,54375
08019,"Clear Creek County, Colorado",9238,68250
08021,"Conejos County, Colorado",8213,34630
08023,"Costilla County, Colorado",3590,26610
08025,"Crowley County, Colorado",5537,31719
08027,"Custer County, Colorado",4375,38605
08029,"Delta County, Colorado",30221,42011
08031,"Denver County, Colorado",663303,56258
08033,"Dolores County, Colorado",1789,32240
08035,"Douglas County, Colorado",314238,105759
08037,"Eagle County, Colorado",52894,78763
08039,"Elbert County, Colorado",24225,87288
08041,"El Paso County, Colorado",665171,60219
08043,"Fremont County, Colorado",46835,42308
08045,"Garfield County, Colorado",57495,61300
08047,"Gilpin County, Colorado",5708,67544
08049,"Grand County, Colorado",14490,67623
08051,"Gunnison County, Colorado",15889,50746
08053,"Hinsdale County, Colorado",856,51250
08055,"Huerfano County, Colorado",6521,33257
08057,"Jackson County, Colorado",1306,45053
08059,"Jefferson County, Colorado",558810,72017
08061,"Kiowa County, Colorado",1465,38385
08063,"Kit Carson County, Colorado",8174,44449
08065,"Lake County, Colorado",7401,46928
08067,"La Plata County, Colorado",53994,61910
08069,"Larimer County, Colorado",325228,61942
08071,"Las Animas County, Colorado",14322,42808
08073,"Lincoln County, Colorado",5515,40438
08075,"Logan County, Colorado",21862,43340
08077,"Mesa County, Colorado",148166,50070
08079,"Mineral County, Colorado",793,49125
08081,"Moffat County, Colorado",13034,53664
08083,"Montezuma County, Colorado",26006,41622
08085,"Montrose County, Colorado",40866,43890
08087,"Morgan County, Colorado",28288,49495
08089,"Otero County, Colorado",18440,34477
08091,"Ouray County, Colorado",4651,62800
08093,"Park County, Colorado",16440,61675
08095,"Phillips County, Colorado",4347,46955
08097,"Pitkin County, Colorado",17543,69789
08099,"Prowers County, Colorado",12121,41037
08101,"Pueblo County, Colorado",162158,42000
08103,"Rio Blanco County, Colorado",6658,56771
08105,"Rio Grande County, Colorado",11623,40177
08107,"Routt County, Colorado",23980,63505
08109,"Saguache County, Colorado",6255,32457
08111,"San Juan County, Colorado",552,41250
08113,"San Miguel County, Colorado",7767,58170
08115,"Sedgwick County, Colorado",2367,46977
08117,"Summit County, Colorado",29269,70192
08119,"Teller County, Colorado",23472,63723
08121,"Washington County, Colorado",4814,46315
08123,"Weld County, Colorado",278065,62820
08125,"Yuma County, Colorado",10150,42026
09001,"Fairfield County, Connecticut",941618,86670
09003,"Hartford County, Connecticut",895699,68027
09005,"Litchfield County, Connecticut",185141,73519
09007,"Middlesex County, Connecticut",164438,79837
09009,"New Haven County, Connecticut",860874,62715
09011,"New London County, Connecticut",272033,67574
09013,"Tolland County, Connecticut",151689,80129
09015,"Windham County, Connecticut",117078,60689
10001,"Kent County, Delaware",171474,55184
10003,"New Castle County, Delaware",551997,66283
10005,"Sussex County, Delaware",211224,54218
11001,"District of Columbia, District of Columbia",659009,72935
12001,"Alachua County, Florida",256581,44702
12003,"Baker County, Florida",27312,53327
12005,"Bay County, Florida",178361,48577
12007,"Bradford County, Florida",26919,43373
12009,"Brevard County, Florida",560683,49914
12011,"Broward County, Florida",1863780,52954
12013,"Calhoun County, Florida",14550,37089
12015,"Charlotte County, Florida",169642,44865
12017,"Citrus County, Florida",140453,39054
12019,"Clay County, Florida",200346,59179
12021,"Collier County, Florida",348236,59783
12023,"Columbia County, Florida",68198,42848
12027,"DeSoto County, Florida",35134,35513
12029,"Dixie County, Florida",16084,34634
12031,"Duval County, Florida",900890,49196
12033,"Escambia County, Florida",309574,46117
12035,"Flagler County, Florida",102917,48898
12037,"Franklin County, Florida",11705,40301
12039,"Gadsden County, Florida",46153,38533
12041,"Gilchrist County, Florida",17033,40881
12043,"Glades County, Florida",13420,34143
12045,"Gulf County, Florida",15851,40822
12047,"Hamilton County, Florida",14362,38980
12049,"Hardee County, Florida",27302,36222
12051,"Hendry County, Florida",38376,37552
12053,"Hernando County, Florida",176797,42274
12055,"Highlands County, Florida",98862,35865
12057,"Hillsborough County, Florida",1323059,51681
12059,"Holmes County, Florida",19569,37437
12061,"Indian River County, Florida",145342,47446
12063,"Jackson County, Florida",48721,35470
12065,"Jefferson County, Florida",14082,41696
12067,"Lafayette County, Florida",8742,36236
12069,"Lake County, Florida",317586,47141
12071,"Lee County, Florida",680970,50390
12073,"Leon County, Florida",284788,48248
12075,"Levy County, Florida",39707,35480
12077,"Liberty County, Florida",8285,37917
12079,"Madison County, Florida",18560,29806
12081,"Manatee County, Florida",353411,51483
