id,Geography,medianHomeValue
05109,"Pike County, Arkansas",77300
05111,"Poinsett County, Arkansas",77900
05113,"Polk County, Arkansas",83900
05115,"Pope County, Arkansas",120900
05117,"Prairie County, Arkansas",67100
05119,"Pulaski County, Arkansas",144000
05121,"Randolph County, Arkansas",79000
05123,"St. Francis County, Arkansas",62700
05125,"Saline County, Arkansas",143900
05127,"Scott County, Arkansas",77700
05129,"Searcy County, Arkansas",82800
05131,"Sebastian County, Arkansas",114800
05133,"Sevier County, Arkansas",70400
05135,"Sharp County, Arkansas",76700
05137,"Stone County, Arkansas",104800
05139,"Union County, Arkansas",77800
05141,"Van Buren County, Arkansas",92000
05143,"Washington County, Arkansas",157400
05145,"White County, Arkansas",113500
05147,"Woodruff County, Arkansas",62700
05149,"Yell County, Arkansas",100100
06001,"Alameda County, California",593500
06003,"Alpine County, California",329500
06005,"Amador County, California",265900
06007,"Butte County, California",228500
06009,"Calaveras County, California",259000
06011,"Colusa County, California",205000
06013,"Contra Costa County, California",472900
06015,"Del Norte County, California",183600
06017,"El Dorado County, California",379200
06019,"Fresno County, California",204900
06021,"Glenn County, California",215800
06023,"Humboldt County, California",279000
06025,"Imperial County, California",159000
06027,"Inyo County, California",235500
06029,"Kern County, California",175600
06031,"Kings County, California",172000
06033,"Lake County, California",167300
06035,"Lassen County, California",174500
06037,"Los Angeles County, California",465000
06039,"Madera County, California",204800
06041,"Marin County, California",859400
06043,"Mariposa County, California",250800
06045,"Mendocino County, California",319100
06047,"Merced County, California",171800
06049,"Modoc County, California",144600
06051,"Mono County, California",286100
06053,"Monterey County, California",393300
06055,"Napa County, California",503100
06057,"Nevada County, California",355900
06059,"Orange County, California",584200
06061,"Placer County, California",380900
06063,"Plumas County, California",221300
06065,"Riverside County, California",276300
06067,"Sacramento County, California",271300
06069,"San Benito County, California",423100
06071,"San Bernardino County, California",256000
06073,"San Diego County, California",454600
06075,"San Francisco County, California",858800
06077,"San Joaquin County, California",246900
06079,"San Luis Obispo County, California",471800
06081,"San Mateo County, California",845300
06083,"Santa Barbara County, California",480000
06085,"Santa Clara County, California",752400
06087,"Santa Cruz County, California",615200
06089,"Shasta County, California",223500
06091,"Sierra County, California",170300
06093,"Siskiyou County, California",173100
06095,"Solano County, California",305900
06097,"Sonoma County, California",464700
06099,"Stanislaus County, California",216000
06101,"Sutter County, California",213100
06103,"Tehama County, California",178600
06105,"Trinity County, California",270100
06107,"Tulare County, California",169600
06109,"Tuolumne County, California",259800
06111,"Ventura County, California",481400
06113,"Yolo County, California",346200
06115,"Yuba County, California",190700
08001,"Adams County, Colorado",216700
08003,"Alamosa County, Colorado",141600
08005,"Arapahoe County, Colorado",266600
08007,"Archuleta County, Colorado",268400
08009,"Baca County, Colorado",69900
08011,"Bent County, Colorado",76800
08013,"Boulder County, Colorado",391000
08014,"Broomfield County, Colorado",328200
08015,"Chaffee County, Colorado",289900
08017,"Cheyenne County, Colorado",89200
08019,"Clear Creek County, Colorado",297000
08021,"Conejos County, Colorado",113800
08023,"Costilla County, Colorado",110800
08025,"Crowley County, Colorado",74200
08027,"Custer County, Colorado",230700
08029,"Delta County, Colorado",196200
08031,"Denver County, Colorado",292700
08033,"Dolores County, Colorado",115900
08035,"Douglas County, Colorado",376300
08037,"Eagle County, Colorado",438500
08039,"Elbert County, Colorado",353700
08041,"El Paso County, Colorado",227000
08043,"Fremont County, Colorado",159000
08045,"Garfield County, Colorado",299700
08047,"Gilpin County, Colorado",255000
08049,"Grand County, Colorado",297500
08051,"Gunnison County, Colorado",311700
08053,"Hinsdale County, Colorado",275400
08055,"Huerfano County, Colorado",153400
08057,"Jackson County, Colorado",170300
08059,"Jefferson County, Colorado",299100
08061,"Kiowa County, Colorado",82700
08063,"Kit Carson County, Colorado",123400
08065,"Lake County, Colorado",184200
08067,"La Plata County, Colorado",340500
08069,"Larimer County, Colorado",282500
08071,"Las Animas County, Colorado",145800
08073,"Lincoln County, Colorado",126400
08075,"Logan County, Colorado",137300
08077,"Mesa County, Colorado",201500
08079,"Mineral County, Colorado",277500
08081,"Moffat County, Colorado",170000
08083,"Montezuma County, Colorado",187700
08085,"Montrose County, Colorado",193300
08087,"Morgan County, Colorado",152800
08089,"Otero County, Colorado",92300
08091,"Ouray County, Colorado",399400
08093,"Park County, Colorado",251700
08095,"Phillips County, Colorado",138500
08097,"Pitkin County, Colorado",552900
08099,"Prowers County, Colorado",88100
08101,"Pueblo County, Colorado",142700
08103,"Rio Blanco County, Colorado",208400
08105,"Rio Grande County, Colorado",136400
08107,"Routt County, Colorado",424300
08109,"Saguache County, Colorado",146600
08111,"San Juan County, Colorado",224100
08113,"San Miguel County, Colorado",505600
08115,"Sedgwick County, Colorado",94700
08117,"Summit County, Colorado",496100
08119,"Teller County, Colorado",244300
08121,"Washington County, Colorado",118000
08123,"Weld County, Colorado",227100
08125,"Yuma County, Colorado",134900
09001,"Fairfield County, Connecticut",413400
09003,"Hartford County, Connecticut",234900
09005,"Litchfield County, Connecticut",249500
09007,"Middlesex County, Connecticut",283800
09009,"New Haven County, Connecticut",244000
09011,"New London County, Connecticut",241500
09013,"Tolland County, Connecticut",247800
09015,"Windham County, Connecticut",196900
10001,"Kent County, Delaware",199800
10003,"New Castle County, Delaware",244300
10005,"Sussex County, Delaware",231600
11001,"District of Columbia, District of Columbia",506100
12001,"Alachua County, Florida",165700
12003,"Baker County, Florida",108600
