occupation,men,women
Dining room and cafeteria attendants and bartender helpers,54.1,45.9
Marketing and sales managers,54.7,45.3
"Agents and business managers of artists, performers, and athletes",55.6,44.4
First-line supervisors of gaming workers,55.7,44.3
"Purchasing agents, except wholesale, retail, and farm products",55.9,44.1
First-line supervisors of retail sales workers,56.6,43.4
Miscellaneous entertainment attendants and related workers,57.1,42.9
Management analysts,57.7,42.3
"Electrical, electronics, and electromechanical assemblers",57.9,42.1
First-line supervisors of housekeeping and janitorial workers,58.9,41.1
Postal service mail carriers,59.2,40.8
Database administrators,59.4,40.6
Administrative services managers,59.9,40.1
Physicians and surgeons,60,40
Cooks,60.7,39.3
Computer systems analysts,61.1,38.9
Chemists and materials scientists,61.7,38.3
Stock clerks and order fillers,62.1,37.9
"Inspectors, testers, sorters, samplers, and weighers",62.1,37.9
"Musicians, singers, and related workers",62.3,37.7
Miscellaneous assemblers and fabricators,62.3,37.7
Appraisers and assessors of real estate,62.6,37.4
Lawyers,62.6,37.4
Helpers--production workers,62.9,37.1
"Mail clerks and mail machine operators, except postal service",63.2,36.8
Financial analysts,63.5,36.5
"Athletes, coaches, umpires, and related workers",63.6,36.4
"Managers, all other",64.2,35.8
Environmental scientists and geoscientists,64.2,35.8
Dentists,64.2,35.8
Janitors and building cleaners,64.8,35.2
Logisticians,65.2,34.8
General and operations managers,65.9,34.1
"Securities, commodities, and financial services sales agents",66,34
"Food processing workers, all other",67.5,32.5
Web developers,67.7,32.3
Personal financial advisors,68,32
"Shipping, receiving, and traffic clerks",68.7,31.3
"Baggage porters, bellhops, and concierges",68.9,31.1
Emergency medical technicians and paramedics,69.4,30.6
First-line supervisors of non-retail sales workers,70,30
First-line supervisors of correctional officers,70.1,29.9
Producers and directors,70.2,29.8
"Production workers, all other",70.5,29.5
Computer and information systems managers,71.4,28.6
"Architects, except naval",71.4,28.6
"Bailiffs, correctional officers, and jailers",71.5,28.5
"Judges, magistrates, and other judicial workers",71.9,28.1
Chief executives,72,28
"Sales representatives, wholesale and manufacturing",72,28
Chemical technicians,72.6,27.4
Computer support specialists,72.9,27.1
"Sales representatives, services, all other",72.9,27.1
Industrial production managers,74.3,25.7
Cutting workers,74.7,25.3
"Farmers, ranchers, and other agricultural managers",74.8,25.2
Security guards and gaming surveillance officers,75.7,24.3
"Butchers and other meat, poultry, and fish processing workers",75.7,24.3
Network and computer systems administrators,76.5,23.5
Detectives and criminal investigators,76.8,23.2
Announcers,76.9,23.1
"Industrial engineers, including health and safety",77.4,22.6
"First-line supervisors of protective service workers, all other",78,22
Miscellaneous agricultural workers,78.5,21.5
Computer programmers,78.8,21.2
Chiropractors,78.9,21.1
Drafters,79.2,20.8
"Metal workers and plastic workers, all other",79.5,20.5
Information security analysts,79.8,20.2
"Engineering technicians, except drafters",80,20
"Laborers and freight, stock, and material movers, hand",80.1,19.9
Chefs and head cooks,80.3,19.7
Dishwashers,80.5,19.5
Supervisors of transportation and material moving workers,80.5,19.5
Couriers and messengers,80.6,19.4
"Transportation, storage, and distribution managers",80.8,19.2
First-line supervisors of production and operating workers,80.9,19.1
