Id2,Geography,OneHundredPlus
05095,"Monroe County, Arkansas",7.3
05097,"Montgomery County, Arkansas",11.3
05099,"Nevada County, Arkansas",8.7
05101,"Newton County, Arkansas",5.7
05103,"Ouachita County, Arkansas",10.1
05105,"Perry County, Arkansas",12.2
05107,"Phillips County, Arkansas",8.5
05109,"Pike County, Arkansas",9
05111,"Poinsett County, Arkansas",6.2
05113,"Polk County, Arkansas",9.4
05115,"Pope County, Arkansas",13.2
05117,"Prairie County, Arkansas",9.6
05119,"Pulaski County, Arkansas",19.4
05121,"Randolph County, Arkansas",9.5
05123,"St. Francis County, Arkansas",6.6
05125,"Saline County, Arkansas",22.1
05127,"Scott County, Arkansas",6.9
05129,"Searcy County, Arkansas",8.1
05131,"Sebastian County, Arkansas",13.3
05133,"Sevier County, Arkansas",8.7
05135,"Sharp County, Arkansas",3.9
05137,"Stone County, Arkansas",11.7
05139,"Union County, Arkansas",12.1
05141,"Van Buren County, Arkansas",10.2
05143,"Washington County, Arkansas",18.1
05145,"White County, Arkansas",14.7
05147,"Woodruff County, Arkansas",5.6
05149,"Yell County, Arkansas",11.1
06001,"Alameda County, California",40.7
06003,"Alpine County, California",25.4
06005,"Amador County, California",20.3
06007,"Butte County, California",17.9
06009,"Calaveras County, California",25.4
06011,"Colusa County, California",19
06013,"Contra Costa County, California",42.1
06015,"Del Norte County, California",14.6
06017,"El Dorado County, California",36.1
06019,"Fresno County, California",19.1
06021,"Glenn County, California",14.3
06023,"Humboldt County, California",14.1
06025,"Imperial County, California",16.7
06027,"Inyo County, California",19.4
06029,"Kern County, California",20.6
06031,"Kings County, California",17.4
06033,"Lake County, California",12.1
06035,"Lassen County, California",19.5
06037,"Los Angeles County, California",27.9
06039,"Madera County, California",18.1
06041,"Marin County, California",50.2
06043,"Mariposa County, California",16.8
06045,"Mendocino County, California",15.6
06047,"Merced County, California",16.3
06049,"Modoc County, California",10.1
06051,"Mono County, California",23.4
06053,"Monterey County, California",27.1
06055,"Napa County, California",36.8
06057,"Nevada County, California",26
06059,"Orange County, California",38.9
06061,"Placer County, California",38.1
06063,"Plumas County, California",16.1
06065,"Riverside County, California",25.2
06067,"Sacramento County, California",25.6
06069,"San Benito County, California",34.3
06071,"San Bernardino County, California",22.6
06073,"San Diego County, California",32.2
06075,"San Francisco County, California",45.3
06077,"San Joaquin County, California",24.1
06079,"San Luis Obispo County, California",29.2
06081,"San Mateo County, California",49.4
06083,"Santa Barbara County, California",31
06085,"Santa Clara County, California",50.7
06087,"Santa Cruz County, California",34.5
06089,"Shasta County, California",17.2
06091,"Sierra County, California",24.8
06093,"Siskiyou County, California",11.2
06095,"Solano County, California",31.8
06097,"Sonoma County, California",31.5
06099,"Stanislaus County, California",20.7
06101,"Sutter County, California",22
06103,"Tehama County, California",13
06105,"Trinity County, California",11.7
06107,"Tulare County, California",16.2
06109,"Tuolumne County, California",19.1
06111,"Ventura County, California",38.4
06113,"Yolo County, California",28.4
06115,"Yuba County, California",16.5
08001,"Adams County, Colorado",24.1
08003,"Alamosa County, Colorado",8.1
08005,"Arapahoe County, Colorado",30.5
08007,"Archuleta County, Colorado",17.8
08009,"Baca County, Colorado",11.1
08011,"Bent County, Colorado",10.3
08013,"Boulder County, Colorado",36.4
08014,"Broomfield County, Colorado",39.5
08015,"Chaffee County, Colorado",16
08017,"Cheyenne County, Colorado",14.7
08019,"Clear Creek County, Colorado",31
08021,"Conejos County, Colorado",11.1
08023,"Costilla County, Colorado",10.2
08025,"Crowley County, Colorado",6.4
08027,"Custer County, Colorado",8.8
08029,"Delta County, Colorado",15.3
08031,"Denver County, Colorado",26.4
08033,"Dolores County, Colorado",13.7
08035,"Douglas County, Colorado",53.6
08037,"Eagle County, Colorado",38.1
08039,"Elbert County, Colorado",42.2
08041,"El Paso County, Colorado",26.1
08043,"Fremont County, Colorado",12.4
08045,"Garfield County, Colorado",26.2
08047,"Gilpin County, Colorado",27.2
08049,"Grand County, Colorado",23.1
08051,"Gunnison County, Colorado",16.3
08053,"Hinsdale County, Colorado",16.7
